Butikk;Artikkelnr;Vg/LøpNr;Lev.art.Nr;Varetekst;Lev.farge;Str;AntPar;AntTalt;Salgsverdi;VVAreKost;Rabatt;AntDiff;VerdiDiff;Pris;Tilb.pris;Oppdatert;Strekkode;OpprVerdi;OpptaltVerdi;Sesong;Avd;Avd beskr;Hg;Hg beskr;Vg;Vg beskr;Levnr;Leverandør;EndretDato;BrukerId
40;9850255;101021/41;851014202;STRIPE NOTE SINGLE DUVET;110;140X220;7;7;0;163,5;0;7;1144,5;1015;0;Nei;7310845482941;1144,5;0;201801;2;Home;101;GIFTS-Home;101021;S/D PRINTED;40;GANT AB;31.01.2019;tomn
40;9850255;101021/41;851014202;STRIPE NOTE SINGLE DUVET;110;140X200;12;12;14210;163,5;0;-2;-327;1015;0;Nei;7310845482927;1962;2289;201801;2;Home;101;GIFTS-Home;101021;S/D PRINTED;40;GANT AB;31.01.2019;tomn
40;9832962;100061/22;75406;THE DETACHER COAT;404;XXXL;4;4;6300;945;0;2;1890;3150;0;Nei;7321369979411;3780;1890;201403;1;Øvrige;100;OUTERWEAR;100061;COTTON COAT;40;GANT AB;31.01.2019;tomn
40;9842491;100001/294;70080;THE DOUBLE DECKER;5; S;3;3;0;1137,5;0;3;3412,5;4550;0;Nei;7325701249743;3412,5;0;201603;1;Øvrige;100;OUTERWEAR;100001;LONG;40;GANT AB;31.01.2019;tomn
40;9842513;100001/295;70080;THE DOUBLE DECKER;405; S;1;1;0;1137,5;0;1;1137,5;4550;0;Nei;7325701249903;1137,5;0;201603;1;Øvrige;100;OUTERWEAR;100001;LONG;40;GANT AB;31.01.2019;tomn
40;9846627;100002/549;74827;THE WINDCHEATER;231; L;3;2;0;455;0;3;1365;1820;0;Nei;7325701440249;1365;0;201701;1;Øvrige;100;OUTERWEAR;100002;SHORT;40;GANT AB;31.01.2019;tomn
40;9846627;100002/549;74827;THE WINDCHEATER;231;XL;2;2;0;455;0;2;910;1820;0;Nei;7325701440256;910;0;201701;1;Øvrige;100;OUTERWEAR;100002;SHORT;40;GANT AB;31.01.2019;tomn
40;9818914;110000/139;75314;WAXY CHECKED LINER COAT;405; M;2;2;0;622,5;0;2;1245;2450;0;Nei;7321360600673;1245;0;201103;1;Øvrige;110;COATS;110000;No Subgroup;40;GANT AB;31.01.2019;tomn
40;9848166;100021/134;74369;YC.THE NYLONER JACKET;248; L;2;2;0;490;0;2;980;1960;0;Nei;7325700638289;980;0;201601;1;Øvrige;100;OUTERWEAR;100021;LINEN;40;GANT AB;31.01.2019;tomn
40;9841349;100021/88;74369;YC.THE NYLONER JACKET;433; S;1;1;0;490;0;1;490;1960;0;Nei;7325700638340;490;0;201601;1;Øvrige;100;OUTERWEAR;100021;LINEN;40;GANT AB;31.01.2019;tomn
40;9848166;100021/134;74369;YC.THE NYLONER JACKET;248; S;1;1;0;490;0;1;490;1960;0;Nei;7325700638265;490;0;201601;1;Øvrige;100;OUTERWEAR;100021;LINEN;40;GANT AB;31.01.2019;tomn
